name,party,BT-Period
Gregor Gysi,DIE LINKE,20
Hubert Hüppe,CDU,20
Wolfgang Kubicki,FDP,20
Peter Ramsauer,CSU,20
Wolfgang Schäuble,CDU,20
Hermann Gröhe,CDU,20
Manfred Grund,CDU,20
Armin Laschet,CDU,20
Steffi Lemke,GRÜNE,20
Michael Meister,CDU,20
Friedrich Merz,CDU,20
Cem Özdemir,GRÜNE,20
Thomas Rachel,CDU,20
Norbert Röttgen,CDU,20
Max Straubinger,CSU,20
Dietmar Bartsch,DIE LINKE,20
Ekin Deligöz,GRÜNE,20
Hans-Peter Friedrich,CSU,20
Katrin Dagmar Göring-Eckardt,GRÜNE,20
Katrin Göring-Eckardt,GRÜNE,20
Hubertus Heil,SPD,20
Anette Kramme,SPD,20
Dietmar Nietan,SPD,20
Petra Pau,DIE LINKE,20
Claudia Roth,GRÜNE,20
Michael Roth,SPD,20
Carsten Schneider,SPD,20
Olaf Scholz,SPD,20
Jürgen Trittin,GRÜNE,20
Annette Widmann-Mauz,CDU,20
Klaus-Peter Willsch,CDU,20
Kerstin Griese,SPD,20
Sören Bartol,SPD,20
Helge Braun,CDU,20
Gitta Connemann,CDU,20
Alexander Dobrindt,CSU,20
Enak Ferlemann,CDU,20
Otto Fricke,FDP,20
Michael Grosse-Brömer,CDU,20
Olav Gutting,CDU,20
Bettina Hagedorn,SPD,20
Michael Hennrich,CDU,20
Julia Klöckner,CDU,20
Günter Krings,CDU,20
Renate Künast,GRÜNE,20
Markus Kurth,GRÜNE,20
Patricia Lips,CDU,20
Gesine Lötzsch,DIE LINKE,20
Anna Lührmann,GRÜNE,20
Dorothee Mantel,CSU,20
Dorothee Bär,CSU,20
Stephan Mayer,CSU,20
Stefan Müller,CSU,20
Rolf Mützenich,SPD,20
Daniela Raab,CSU,20
Daniela Ludwig,CSU,20
Albert Rupprecht,CSU,20
Axel Schäfer,SPD,20
Andreas Scheuer,CSU,20
Thomas Silberhorn,CSU,20
Jens Spahn,CDU,20
Christian Stetten,CDU,20
Gero Storjohann,CDU,20
Antje Tillmann,CDU,20
Marco Wanderwitz,CDU,20
Volker Wissing,FDP,20
Artur Auernhammer,CSU,20
Bärbel Kofler,SPD,20
Lars Klingbeil,SPD,20
Niels Annen,SPD,20
Thomas Bareiß,CDU,20
Michael Brand,CDU,20
Sevim Dağdelen,BSW,20
Klaus Ernst,Plos,20
Kai Gehring,GRÜNE,20
Martin Gerster,SPD,20
Monika Grütters,CDU,20
Britta Haßelmann,GRÜNE,20
Anton Hofreiter,GRÜNE,20
Andreas Jung,CDU,20
Josip Juratovic,SPD,20
Katja Kipping,DIE LINKE,20
Jan Korte,DIE LINKE,20
Karl Lauterbach,SPD,20
Paul Lehrieder,CSU,20
Michael Link,FDP,20
Michael Georg Link,FDP,20
Katja Mast,SPD,20
Matthias Miersch,SPD,20
Carsten Müller,CDU,20
Detlef Müller,SPD,20
Henning Otte,CDU,20
Sönke Rix,SPD,20
Frank Schäffler,FDP,20
