,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context
412225,Wir würden uns die Diskussion gern ersparen!,CDU/CSU,Florian Oßner,GRÜNE,Tobias Bacherle,2022-11-22,187656,twendigen Ausbau immer noch diskutieren müssen. Aber es ist nun mal so. (Beifall beim GRÜNE sowie bei Abgeordneten der SPD) Ein guter Internetanschluss muss heutzutage – eigentlich schon in den letzten zehn Jahren – Teil der Daseinsvorsorge sein. (Beifall beim GRÜNE sowie bei Abgeordneten der SPD – 
57152,Wieviel Arbeits,SPD,Ottmar Schreiner,FDP,Ina Albowitz,1997-11-27,37416,und Herren! Herr Kollege Fuchtel  hat es eben schon gesagt: Auch 1998 wird der Haushalt des Bundesministers für Arbeit und Sozialordnung mit rund 150 Milliarden DM der weitaus größte  Einzeletat des Bundes sein. Das heißt: Nach wie vor  wird jede dritte Mark unseres Etats für Soziales ausgegeben.  (
82061,Das ist Schall und Rauch!,CDU/CSU,Norbert Geis,SPD,Dr. Herta Däubler-Gmelin,2000-07-06,48723,"stritten haben – seien das nun die Elternverbände, die Kinderschutzverbände oder, Herr Pofalla, der Familiengerichtstag, auf dem wir beide gemeinsam waren und wo gesagt wurde, dass diese Formulierung die richtige sei –, diese klare Formulierung in den vorliegenden Gesetzentwurf hineinzuschreiben.  ("
103641,Das macht der immer so! Das ist seine Art!,FDP,Ulrich Irmer,CDU/CSU,Erika Reinhardt,2002-01-23,55839,"e deutschen Vertriebenen ausdrücklich auf Rache und Vergeltung. Herr Außenminister, man hat das Gefühl, Sie langweilen sich etwas bei dieser Debatte. Ich glaube, wir alle sollten sie etwas ernster nehmen. (Beifall bei der CDU/CSU – Dr. Antje Vollmer [GRÜNE]: Das haben Sie schon zwanzigmal gesagt! – "
126453,Natürlich!  Habe ich ja gesagt!,CDU/CSU,Dr. Peter Paziorek,SPD,Michael Müller,2003-07-04,62493,"in Mitspracherecht haben. Wieso auch nicht? Technik ist nicht wertneutral, sie ist politisch zu bewerten. Wir haben eine große Bitte: Bei allen Unterschieden, die wir haben, sollten Sie das Instrument offensiv verteidigen und zeigen, dass es ein Teil der gemeinsamen Geschichte des Bundestages ist. ("
153580,Da geht Ihr Telefon! Es  geht sicher um Schleswig,CDU/CSU,<unknown>,SPD,Marion Caspers-Merk,2005-03-17,71223,"Frau Kollegin Klöckner, weil ich das für ein ernstes Thema halte, (Julia Klöckner [CDU/CSU]: Wir auch!) möchte ich die Dinge, die falsch sind, nicht stehen lassen. Ich habe vorhin bei der Kollegin Widmann-Mauz nicht reagiert, weil ich es schade finde, dass sie den Sachverhalt nicht kennt.  "
458093,Jawoll!,SPD,Maja Wallstein,SPD,Saskia Esken,2024-04-11,202005,"profitieren. (Beifall bei der SPD und der FDP sowie bei  Abgeordneten des GRÜNE) Liebe Kolleginnen und Kollegen, meine sehr geehrten  Damen und Herren, ich wiederhole gerne: Mit dem Startchancen-Programm haben wir das größte Bildungsprogramm der Geschichte der Bundesrepublik auf den Weg  gebracht, ("
337571,Nein! Das stimmt ja nun nicht!,GRÜNE,Annalena Baerbock,CDU/CSU,Maik Beermann,2018-10-18,152511,"ine klare Relation einigen konnte. Sie wissen bestimmt besser als ich, dass in vielen Länderparlamenten eben auch die Grünen mitregieren. Das heißt, auch aufgrund der Grünen in den Ländern konnte man sich anscheinend nicht darauf verständigen, eine andere oder deutlichere Relation festzuschreiben. ("
236322,Wie lange werden  Sie denn prüfen?,SPD,Manfred Zöllmer,CDU/CSU,Erwin Rüddel,2011-05-13,106225,en Übergang zu den „Frühen Hilfen“ schaffen. (Mechthild Rawert [SPD]: Aus welchem Haus soll  das kommen: Familie oder Gesundheit?) – Ich habe gesagt: Aus verschiedenen Töpfen wird eine Hilfe finanziert. (Mechthild Rawert [SPD]: Dann wird das  nichts!) Meine Fraktion wird das sehr sorgfältig prüfen (
427346,Da hat er recht!,CDU/CSU,Astrid Damerow,DIE LINKE,Ralph Lenkert,2023-04-28,192468,"oft wollen Sie die gleiche Milliarde Euro eigentlich noch ausgeben? (Heidi Reichinnek [DIE LINKE]: Das kennen wir!) Sie wecken Hoffnungen bei Kommunen, bei Unternehmen, bei Umweltverbänden, bei Bürgerinnen und Bürgern, die Sie zwangsläufig enttäuschen müssen. Das ist gefährlich für die Demokratie. ("
272227,"Das glaubst  du doch selbst nicht, was du da erzählst!",FDP,Hans-Michael Goldmann,FDP,Dr. Daniel Volk,2013-04-25,121048,"gewesen. (Manfred Zöllmer [SPD]: Ja, ja!) Deswegen haben wir die Regelung zu den Cash-GmbHs  eindeutiger, detaillierter, treffsicherer gemacht, und zwar  wirklich nur im Hinblick auf missbräuchliche Gestaltungen. (Manfred Zöllmer [SPD]: Neue Schlupflöcher  haben Sie geschaffen! – Gegenruf des Abg.  "
249994,"Ich dachte, ich hätte es in  Teilen auch gelobt!",SPD,René Röspel,FDP,Dr. Martin Neumann,2012-02-09,111774," – von den Innenpolitikern von CDU/CSU, FDP, SPD und GRÜNE gemeinsam im Grünbuch Risiken und Herausforderungen für die öffentliche Sicherheit in Deutschland des Zukunftsforums Öffentliche Sicherheit dargelegt wurden. Genau das, was darin enthalten ist, hat man jetzt in dieses Programm aufgenommen. ("
356409,Die Nazis gehen halt auch mit der Zeit!,GRÜNE,Dr. Irene Mihalic,CDU/CSU,Marc Henrichmann,2019-10-18,161132,"ktion, haben eine Anfrage gestellt!) Insofern stellen wir doch einmal fest – und vielleicht sind wir uns da wenigstens einig –, dass wir Verschiebungen in einem Phänomen haben, das – ja – Rechtsextremismus heißt, und wir in Teilen auch schauen müssen, dass wir diesen Verschiebungen gerecht werden. ("
361709,Bravo!,FDP,<unknown>,FDP,Renata Alt,2019-12-12,163026, nicht. (Beifall bei der FDP sowie bei Abgeordneten der CDU/CSU) Wir dürfen weder Putin noch seinen Marionettenrepubliken im Osten der Ukraine nachgeben. Für uns Freie Demokraten ist die territoriale Integrität der Ukraine nicht verhandelbar. (Beifall bei der FDP sowie bei Abgeordneten der CDU/CSU –
336374,Die Doppelmoral ist doch bei euch! Bleiben Sie bei den Fakten!,FDP,Karlheinz Busen,SPD,Timon Gremmels,2018-09-28,151883,"alles schneller geht. Sie wollen weniger naturschutzrechtliche Vorgaben. Jetzt machen Sie bei Windrädern im Wald genau das Gegenteil! Da sieht man, was für eine Doppelmoral Sie an den Tag legen. Die Doppelmoral ist wirklich mit den Händen zu greifen. (Beifall bei der SPD, der LINKEN und dem GRÜNE – "
415836,Das war ja schon längst weg!,SPD,<unknown>,CDU/CSU,Christina Stumpp,2022-12-15,188748,"nzeichnen. Es fehlen verarbeitete Waren. Es fehlen die Vertriebswege der Gastronomie und der Außer-Haus-Verpflegung. Es fehlen die anderen Tierarten. Ihr Stückwerk, Herr Minister, verspielt das Vertrauen unserer Verbraucher. (Beifall bei der CDU/CSU – Zoe Mayer [GRÜNE]: Was haben Sie denn gemacht? –"
