,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
0,Weiß das das Jugendamt?,SPD,Dr. Fritz Felgentreu,CDU/CSU,Dr. Heribert Hirte,2021-06-24,178843,"det, dann muss man auch sagen – wie viele Stunden sind wir jetzt am Beraten? –: Das hier ist nicht familienfreundlich. – Das sollte man auch in Erinnerung rufen. – Herzlichen Dank! Meine Kinder sitzen dort oben. (Beifall im ganzen Hause – Stephan Thomae [FDP]: Um diese Zeit? Die gehören ins Bett! – ",1
1,Wieso?,CDU/CSU,Sylvia Pantel,SPD,Josip Juratovic,2016-12-16,142078,"eben. Ich habe immer gedacht, das ist unser Land. Ich habe immer von „unserem“ Land gesprochen. Allerdings fällt es mir angesichts der Reden auf dem letzten CDU-Parteitag und angesichts der Debatten, die dort vom Zaun gebrochen wurden, schwer, zu glauben, dass ich tatsächlich gleichberechtigt bin. (",0
2,Erasmus,AfD,Stephan Brandner,CDU/CSU,Philipp Amthor,2023-11-10,197933,"ublik die parteinahen Stiftungen gegründet wurden. Und deswegen muss man aller Kritik zum Trotz sagen: Wir können froh sein, dass wir in Deutschland diese Stiftungen – von der Konrad-Adenauer-Stiftung über die Friedrich-Ebert-Stiftung, die Heinrich-Böll-Stiftung bis hin zu all den anderen – haben. (",0
3,Sehr richtig!,CDU/CSU,Steffen Kampeter,FDP,Cornelia Pieper,1999-11-25,45664,"es Täuschungsmanöver war leicht zu durchschauen, da der Haushalt für dieses Jahr eine andere Sprache spricht und die Zielschärfe Ihrer Definition von Zukunftsinvestitionen verschwommen bleibt. Heute erleben wir also den dritten Akt. Wir können nun sehen, wie der Deckel Ihrer Mogelkiste aufspringt. (",2
4,Sie aber auch nicht!,GRÜNE,Hans-Christian Ströbele,CDU/CSU,Peter Rzepka,2004-10-21,68341,rag hier in diesem Hause ist; denn sie hat hier weder zur Zukunft des sich in der Planung befindlichen Flughafens Schönefeld klare Worte sagen und zeitliche Perspektiven nennen können noch scheint sie aktuell über die Situation in Tempelhof informiert zu sein. (Beifall bei der CDU/CSU und der FDP – ,1
5,Und Widerstand!,AfD,Stephan Brandner,GRÜNE,Margit Stumpp,2019-12-12,162994,n Brandner [AfD]: Das ist Herr Özdemir mit den Verschwörungstheorien!) Der Deutsche Bundestag ist aber weder Breitbart noch Russia Today deutsch. Ihr Kulturpessimismus und Ihre Verschwörungstheorien finden hier keinen Widerhall. Die einzig angebrachte Reaktion ist Widerspruch. (Beifall beim GRÜNE – ,0
6,Schön wäre  es!,SPD,Elvira Drobinski-Weiß,CDU/CSU,Alois Gerig,2012-10-18,116108,"tsanforderungen festlegen, beispielsweise hinsichtlich der zugelassenen Rebsorten oder des  zulässigen Hektarertrags. Damit bieten wir die Möglichkeit und Gewähr, die spezielle Wertigkeit dieser Weine  zu erhöhen. Die Käufer werden dadurch motiviert, die  notwendigen höheren Preise zu akzeptieren. (",1
7,Wo denn? Träumer!,CDU/CSU,Volker Kauder,FDP,Dr. Guido Westerwelle,2010-11-24,102336,"llem in Nordrhein- Westfalen!) Noch mehr ärgert Sie, dass wir die Blockaden, die Sie in den 90er-Jahren im Bereich der Energiepolitik geschaffen haben, aufgelöst und eine neue Energiepolitik in diesem Land überhaupt erst möglich gemacht haben. (Beifall bei der SPD sowie bei Abgeordneten des GRÜNE – ",1
8,Das haben wir ja angeboten!,CDU/CSU,Ulrich Lange,SPD,Franziska Mascheck,2024-03-22,201803," Sehr geehrte Damen und Herren! Liebe Zuschauerinnen und Zuschauer auf den Tribünen! Ich habe das dringende Bedürfnis, etwas klarzustellen: Ich wünsche mir, wenn hier alle von einer Baukrise reden, eine konstruktive Opposition und keine Opposition, die alles weiter blockiert. (Beifall bei der SPD – ",0
9,So ist es!,CDU/CSU,dos Santos-Wintz,CDU/CSU,Dr. Reinhard Brandl,2024-01-18,199873,"ll bei der CDU/CSU – Armand Zorn [SPD]: Das machen wir doch gar nicht! – Dr. Jens Zimmermann [SPD]: Wo steht das denn im Gesetz?) Deswegen ist es gut, dass die Landesmedienanstalten – zumindest auf dem Papier – jetzt mit dabei sind; das waren sie im ersten Entwurf des Gesetzes noch nicht. (Catarina ",2
