name,party,BT-Period
Dieter Janecek,GRÜNE,20
Carsten Brodesser,CDU,20
Kirsten Kappert-Gonther,GRÜNE,20
Bettina Margarethe Wiesmann,CDU,20
Sanae Abdi,SPD,20
Valentin Abel,FDP,20
Knut Abraham,CDU,20
Katja Adler,FDP,20
Stephanie Aeffner,GRÜNE,20
Adis Ahmetovic,SPD,20
Reem Alabali-Radovan,SPD,20
Ali Al-Dailami,Plos,20
Muhanad Al-Halak,FDP,20
Dagmar Andres,SPD,20
Johannes Arlt,SPD,20
Andreas Audretsch,GRÜNE,20
Maik Außendorf,GRÜNE,20
Tobias Bacherle,GRÜNE,20
Carolin Bachmann,AfD,20
Daniel Baldy,SPD,20
Felix Banaszak,GRÜNE,20
Karl Bär,GRÜNE,20
Christina Baum,AfD,20
Katharina Beck,GRÜNE,20
Roger Beckamp,AfD,20
Holger Becker,SPD,20
Lukas Benner,GRÜNE,20
Jürgen Berghahn,SPD,20
Bengt Bergt,SPD,20
Jakob Blankenburg,SPD,20
René Bochmann,AfD,20
Ingo Bodtke,FDP,20
Friedhelm Boginski,FDP,20
Simone Borchardt,CDU,20
Dirk Brandes,AfD,20
Michael Breilmann,CDU,20
Marlon Bröhr,CDU,20
Frank Bsirske,GRÜNE,20
Yannick Bury,CDU,20
Isabel Cademartori Dujisin,SPD,20
Mario Czaja,CDU,20
Hakan Demir,SPD,20
Sandra Detzer,GRÜNE,20
Martin Diedenhofen,SPD,20
Jan Dieren,SPD,20
Thomas Dietz,AfD,20
Felix Döring,SPD,20
Falko Droßmann,SPD,20
Deborah Düring,GRÜNE,20
Axel Echeverria,SPD,20
Leon Eckert,GRÜNE,20
Ralph Edelhäußer,CSU,20
Sonja Eichwede,SPD,20
Alexander Engelhard,CSU,20
Heike Engelhardt,SPD,20
Martina Englhardt-Kopf,CSU,20
Robert Farle,AfD,20
Ariane Fäscher,SPD,20
Emilia Fester,GRÜNE,20
Sebastian Fiedler,SPD,20
Fabian Funke,SPD,20
Maximilian Funke-Kaiser,FDP,20
Schahina Gambir,GRÜNE,20
Tessa Ganserer,GRÜNE,20
Martin Gassner-Herz,FDP,20
Manuel Gava,SPD,20
Jonas Geissler,CSU,20
Knut Gerschau,FDP,20
Jan-Niclas Gesenhues,GRÜNE,20
Hannes Gnauck,AfD,20
Christian Görke,DIE LINKE.,20
Fabian Gramling,CDU,20
Ingeborg Gräßle,CDU,20
Armin Grau,GRÜNE,20
Sabine Grützmacher,GRÜNE,20
Serap Güler,CDU,20
Ates Gürpinar,DIE LINKE.,20
Robert Habeck,GRÜNE,20
Philipp Hartewig,FDP,20
Ulrike Harzer,FDP,20
Frauke Heiligenstadt,SPD,20
Linda Heitmann,GRÜNE,20
Matthias Helferich,AfD,20
Kathrin Henneberger,GRÜNE,20
Anke Hennig,SPD,20
Susanne Hennig-Wellsow,DIE LINKE.,20
Bernhard Herrmann,GRÜNE,20
Nadine Heselhaus,SPD,20
Susanne Hierl,CSU,20
Bruno Hönel,GRÜNE,20
Franziska Hoppermann,CDU,20
Jasmina Hostert,SPD,20
Verena Hubertz,SPD,20
Markus Hümpfer,SPD,20
Gerrit Huy,AfD,20
Steffen Janich,AfD,20
Anne Janssen,CDU,20
Ann-Veruschka Jurisch,FDP,20
Lamya Kaddor,GRÜNE,20
Macit Karaahmetoğlu,SPD,20
Carlos Kasper,SPD,20
Anna Kassautzki,SPD,20
Malte Kaufmann,AfD,20
Michael Kaufmann,AfD,20
Rainer Johannes Keller,SPD,20
Michael Kellner,GRÜNE,20
Franziska Kersten,SPD,20
Misbah Khan,GRÜNE,20
Helmut Kleebank,SPD,20
Ottilie Klein,CDU,20
Kristian Klinck,SPD,20
Annika Klose,SPD,20
Tim Klüssendorf,SPD,20
Anne König,CDU,20
Chantal Kopf,GRÜNE,20
