Unnamed: 0,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
433684,Jetzt nicht durcheinanderkommen!,GRÜNE,Dr. Till Steffen,AfD,Dirk Brandes,2023-07-05,194603,"DIE LINKE]: Jeder Cent für die Sozialsysteme ist ein guter Cent! Das gibt nämlich höhere Renten und eine Gesundheitsversorgung, die sich sehen lassen kann!) Liebe CDU, runde Tische und eine Absenkung der Ausbildungsstandards für Berufskraftfahrer reichen nicht aus, um dem Fahrermangel zu begegnen. (",1
238107,Ui!,DIE LINKE,Michael Schlecht,CDU/CSU,Ulrich Lange,2011-06-30,106964,"uwirken. Tun Sie das endlich, (Beifall bei Abgeordneten der CDU/CSU sowie des Abg. Oliver Luksic [FDP]) damit Ihr Wunsch, Stuttgart 21 realisieren zu können, Wirklichkeit werden kann. (Beifall bei Abgeordneten der FDP) Kollege Schlecht, Ihre Rede war eine Rede im Sinne eines besten Krawallbürgers. (",0
381901,Sie haben es nicht verstanden!,FDP,Dr. Marco Buschmann,GRÜNE,Dr. Manuela Rottmann,2021-01-28,173441,"soll das? Sie stärken damit doch nicht den Bundestag, Sie machen aus ihm einen Schlaumeier am Spielfeldrand, der die Strichliste über gewonnene Zweikämpfe in der Ministerpräsidentenkonferenz führen darf. (Beifall beim GRÜNE, bei der CDU/CSU und der SPD – Michael Grosse-Brömer [CDU/CSU]: Sehr gut! – ",1
148254,Wir auch!,FDP,Ulrike Flach,CDU/CSU,Dr. Maria Böhmer,2004-12-02,69450,"len Leuten Sachen! Damit wäre ich vorsichtig!) – Liebe Frau Flach, ich gehe gern darauf ein. Wir haben engsten Kontakt zu den Wissenschaftlern. Sie wissen, dass die CDU/CSU-Bundestagsfraktion einen Beirat für Fragen der Bio- und Gentechnologie mit exzellenten Stammzellwissenschaftlern berufen hat. (",0
61862,"Es ist schon interessant,  was da herauskommt!",SPD,Horst Sielaff,FDP,Günther Bredehorn,1998-06-18,39933,"ilosophie „Mengen runter, Preise rauf"" hat sich als Flop erwiesen. Wir sollten  nicht weiterhin den Eindruck erwecken - das wird  immer noch von allen Seiten gemacht -, daß wir mit  einer Mengenregulierung oder mit dieser Garantiemengenregelung die Herausforderungen der Zukunft bewältigen werden.  (",0
326228,Um Gottes willen!,AfD,<unknown>,CDU/CSU,Dr. Volker Ullrich,2018-02-23,147271,"uropa?) Über die inhaltlichen Themen, meine Damen und Herren, werden wir im Ausschuss diskutieren. Wir müssen darüber sprechen, wie wir die Gemeinsame Außen- und Sicherheitspolitik im mehrjährigen Finanzrahmen mit Mitteln unterlegen können, wie wir die Stellung der Kommissarin weiter stärken können.",1
49575,Unmöglich!,CDU/CSU,Steffen Kampeter,SPD,Doris Odendahl,1996-11-28,32593,"t über das  Thema Gesamtschule diskutieren, sondern über den unglaublichen Vorgang, daß Bürgerinnen und Bürger in Münster versuchen, ihre Schulen zu erhalten,  und einen Bürgerentscheid durchsetzen und daß der  SPD-Innenminister Kniola das mit obrigkeitsstaatlichen Mitteln zu verhindern versucht.  (",1
321230,Von welchen Steuern denn?,SPD,Klaus Mindrup,CDU/CSU,Volkmar Vogel,2017-05-19,144572,"über den sie verfügen können. (Christian Kühn [Tübingen] [GRÜNE]: Das debattieren wir noch mal!) Da sind es vor allen Dingen die Familien, die Schwellenhaushalte, die es schwer haben, zu Wohnungseigentum zu kommen. Denen müssen wir helfen, zum Beispiel durch steuerliche Abschreibungsmöglichkeiten. (",1
103108,Und das soll Klimaschutz sein?,GRÜNE,Hans-Josef Fell,GRÜNE,Michaele Hustedt,2001-12-13,55591,"Gas importieren müssen. Aber wenn man die Kohlestrategie wählt, dann muss Deutschland nach der Prognos-Berechnung absolut gesehen – nicht relativ, weil man auf Kohle setzt; aber die absolute Zahl ist entscheidend dafür, wie abhängig man ist – mehr Gas importieren als bei der Klimaschutzstrategie.  (",1
350482,Ihr habt doch bei 800 schon dagegengestimmt!,CDU/CSU,Hans Michelbach,GRÜNE,Dr. Danyal Bayaz,2019-05-10,158340, enormer Tragweite. Die Wahrheit ist: Die Anhebung der GWG-Grenze um 200 Euro – von 800 auf 1 000 Euro – ist nahezu unstrittig. Die Bedeutung für den Bundeshaushalt ist marginal. Wir reden hier über einen Zinseffekt. (Lothar Binding [Heidelberg] [SPD]: 100 Prozent Anhebung ist auch was! – Dr. h. c. ,0
422172,Die größte Unwahrheit ist das!,CDU/CSU,Thorsten Frei,GRÜNE,Katharina Dröge,2023-03-16,190884," in der Europäischen Union. (Dorothee Bär [CDU/CSU]: Ihr seid dagegen!) Sie sind auch gegen Windenergieausbau in Bayern. (Zuruf des Abg. Christian Dürr [FDP]) Sie sind eigentlich gegen alles, was Klimaschutz in diesem Land bringt. (Beifall beim GRÜNE und bei der FDP sowie bei Abgeordneten der SPD – ",1
425447,Das glaube ich!,DIE LINKE,Jan Korte,GRÜNE,von Notz,2023-04-20,191865,"erer Ausführung verliehen und sie damit für ihre persönlichen Leistungen geehrt. Ich möchte diesen TOP der AfD auch dafür nutzen, um hier in aller Klarheit zu sagen: Wir gratulieren Frau Merkel ganz herzlich zu dieser schönen Auszeichnung. (Beifall beim GRÜNE, bei der SPD, der CDU/CSU und der FDP – ",2
71876,Das ist wahr!,SPD,<unknown>,FDP,Klaus Haupt,1999-10-01,44563," wir, daß die Bundesregierung einen neuen Anlauf unternimmt, diese fast unendliche Geschichte zu einem Abschluß zu bringen. Irmingard Schewe-Gerigk Seit Mitte der 80er Jahre wird versucht, zu einem Altenpflegegesetz zu kommen. Zuletzt waren die Bemühungen an der Blockadehaltung Bayerns gescheitert. ",2
116847,In den Irak gehen wir doch gerade nicht rein!,SPD,Rudolf Bindig,CDU/CSU,Dr. Gerd Müller,2002-12-04,59417,"die Sie nicht beantwortet haben: Gibt es eine Exit-Strategie? Wie sollen im Ernstfall 2 000 bis 5 000 Mann herausgeholt werden? Wo ist das Gesamtkonzept für Afghanistan? Herr Bundesaußenminister, Sie lassen sich feiern. Ihre Devise lautet: Wir gehen überall rein: Mazedonien,  Bosnien, Afghanistan. (",0
