Unnamed: 0,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
389767,Weiß das das Jugendamt?,SPD,Dr. Fritz Felgentreu,CDU/CSU,Dr. Heribert Hirte,2021-06-24,178843,"det, dann muss man auch sagen – wie viele Stunden sind wir jetzt am Beraten? –: Das hier ist nicht familienfreundlich. – Das sollte man auch in Erinnerung rufen. – Herzlichen Dank! Meine Kinder sitzen dort oben. (Beifall im ganzen Hause – Stephan Thomae [FDP]: Um diese Zeit? Die gehören ins Bett! – ",1
315825,Wieso?,CDU/CSU,Sylvia Pantel,SPD,Josip Juratovic,2016-12-16,142078,"eben. Ich habe immer gedacht, das ist unser Land. Ich habe immer von „unserem“ Land gesprochen. Allerdings fällt es mir angesichts der Reden auf dem letzten CDU-Parteitag und angesichts der Debatten, die dort vom Zaun gebrochen wurden, schwer, zu glauben, dass ich tatsächlich gleichberechtigt bin. (",0
444172,Erasmus,AfD,Stephan Brandner,CDU/CSU,Philipp Amthor,2023-11-10,197933,"ublik die parteinahen Stiftungen gegründet wurden. Und deswegen muss man aller Kritik zum Trotz sagen: Wir können froh sein, dass wir in Deutschland diese Stiftungen – von der Konrad-Adenauer-Stiftung über die Friedrich-Ebert-Stiftung, die Heinrich-Böll-Stiftung bis hin zu all den anderen – haben. (",0
74996,Sehr richtig!,CDU/CSU,Steffen Kampeter,FDP,Cornelia Pieper,1999-11-25,45664,"es Täuschungsmanöver war leicht zu durchschauen, da der Haushalt für dieses Jahr eine andere Sprache spricht und die Zielschärfe Ihrer Definition von Zukunftsinvestitionen verschwommen bleibt. Heute erleben wir also den dritten Akt. Wir können nun sehen, wie der Deckel Ihrer Mogelkiste aufspringt. (",2
144703,Sie aber auch nicht!,GRÜNE,Hans-Christian Ströbele,CDU/CSU,Peter Rzepka,2004-10-21,68341,rag hier in diesem Hause ist; denn sie hat hier weder zur Zukunft des sich in der Planung befindlichen Flughafens Schönefeld klare Worte sagen und zeitliche Perspektiven nennen können noch scheint sie aktuell über die Situation in Tempelhof informiert zu sein. (Beifall bei der CDU/CSU und der FDP – ,1
361551,Und Widerstand!,AfD,Stephan Brandner,GRÜNE,Margit Stumpp,2019-12-12,162994,n Brandner [AfD]: Das ist Herr Özdemir mit den Verschwörungstheorien!) Der Deutsche Bundestag ist aber weder Breitbart noch Russia Today deutsch. Ihr Kulturpessimismus und Ihre Verschwörungstheorien finden hier keinen Widerhall. Die einzig angebrachte Reaktion ist Widerspruch. (Beifall beim GRÜNE – ,0
260496,Schön wäre  es!,SPD,Elvira Drobinski-Weiß,CDU/CSU,Alois Gerig,2012-10-18,116108,"tsanforderungen festlegen, beispielsweise hinsichtlich der zugelassenen Rebsorten oder des  zulässigen Hektarertrags. Damit bieten wir die Möglichkeit und Gewähr, die spezielle Wertigkeit dieser Weine  zu erhöhen. Die Käufer werden dadurch motiviert, die  notwendigen höheren Preise zu akzeptieren. (",1
226342,Wo denn? Träumer!,CDU/CSU,Volker Kauder,FDP,Dr. Guido Westerwelle,2010-11-24,102336,"llem in Nordrhein- Westfalen!) Noch mehr ärgert Sie, dass wir die Blockaden, die Sie in den 90er-Jahren im Bereich der Energiepolitik geschaffen haben, aufgelöst und eine neue Energiepolitik in diesem Land überhaupt erst möglich gemacht haben. (Beifall bei der SPD sowie bei Abgeordneten des GRÜNE – ",1
457432,Das haben wir ja angeboten!,CDU/CSU,Ulrich Lange,SPD,Franziska Mascheck,2024-03-22,201803," Sehr geehrte Damen und Herren! Liebe Zuschauerinnen und Zuschauer auf den Tribünen! Ich habe das dringende Bedürfnis, etwas klarzustellen: Ich wünsche mir, wenn hier alle von einer Baukrise reden, eine konstruktive Opposition und keine Opposition, die alles weiter blockiert. (Beifall bei der SPD – ",0
450858,So ist es!,CDU/CSU,dos Santos-Wintz,CDU/CSU,Dr. Reinhard Brandl,2024-01-18,199873,"ll bei der CDU/CSU – Armand Zorn [SPD]: Das machen wir doch gar nicht! – Dr. Jens Zimmermann [SPD]: Wo steht das denn im Gesetz?) Deswegen ist es gut, dass die Landesmedienanstalten – zumindest auf dem Papier – jetzt mit dabei sind; das waren sie im ersten Entwurf des Gesetzes noch nicht. (Catarina ",2
90940,Das bringt doch die Leute raus und nicht rein! Das ist doch das Problem! Die Firmen stellen doch keine Älteren ein!,FDP,Dirk Niebel,SPD,Adolf Ostertag,2001-02-15,51739,"täten in der Arbeitszeitpolitik, insbesondere Arbeitszeitmodelle. Gerade im Bündnis für Arbeit sind einige wichtige Weichenstellungen vorgenommen worden. Dazu gehört zum Beispiel das Thema Altersteilzeit, weil, meine Damen und Herren von der Union, das Altersteilzeitgesetz an diesem Punkt ansetzt. (",1
188090,Nicht nur er!,FDP,Carl-Ludwig Thiele,SPD,Jörg Tauss,2008-03-06,86271,Herr Pinkwart freut sich schon.  (,0
237360,Das ist doch  falsch!,CDU/CSU,Ingbert Liebing,SPD,Garrelt Duin,2011-06-09,106628,"d Hamburg  sind international!) – Das sind internationale Maritime Konferenzen, Herr Kollege. – Es hat regelmäßig Erwartungen gegeben, die nicht immer zu 100 Prozent erfüllt werden konnten. Das ist völlig klar. Diesmal aber ist keine einzige Erwartung erfüllt worden. Überhaupt nichts ist passiert. (",1
143588,Die haben Sie doch!,SPD,Klaus Brandner,CDU/CSU,Clemens Binninger,2004-09-24,67980,"ss man die gleichen Regelungen wie bei Bundesbeamten – ich nenne zum Beispiel die bundesweite Versetzung – anwenden soll. Man kann dafür sein, sollte dann aber auch die Rechte beachten. Wir hätten dann gefragt, warum es nicht analog zu den Bundesbeamten eine Öffnungsklausel zur Sonderzahlung gibt. (",0
453072,Wir auch!,AfD,Stephan Brandner,fraktionslos,Alexander Ulrich,2024-02-01,200317,"r Bundesregierung ist. (Beifall bei fraktionslosen Abgeordneten) Man wünscht diesem Land wirklich, dass dieser Haushalt der letzte Haushalt ist, den diese Bundesregierung dem Parlament vorlegt. (Stephan Brandner [AfD]: Da haben Sie recht!) Wir bräuchten dringend Neuwahlen. Wir als BSW sind bereit! (",0
375558,"Und die Leute bei der Lufthansa entlassen, oder wie?",CDU/CSU,Michael Grosse-Brömer,fraktionslos,Marco Bülow,2020-10-02,169801,"ch auch keinen Halt. Entsprechende Maßnahmen wurden zu Recht angemahnt, ja, aber man muss doch auch sagen, wo das Geld herkommt. Der erste Posten wurde verbrannt. Es rächt sich schon jetzt, die 9 Milliarden Euro bei der Lufthansa verbrannt zu haben. Dieses Geld hätte man sonst jetzt zur Verfügung. (",1
105830,Das bekommt er erst mal 18 Monate!,SPD,Peter Dreßen,CDU/CSU,Dr. Hans-Peter Friedrich,2002-02-21,56321,"ist ja nicht zu fassen!) Es ist nicht in Ordnung – lassen Sie mich das sagen –, wenn Sie heute einem 53-Jährigen, der seinen Arbeitsplatz verloren hat, weil sein Unternehmen Insolvenz anmelden musste, sagen: Jetzt bekommst du noch 12 Monate Arbeitslosengeld und dann musst du sehen, wo du bleibst.  (",0
322998,Ah ja!,DIE LINKE,Heike Hänsel,CDU/CSU,Peter Beyer,2017-06-29,145448,"te des Parlaments höre, wie „Alle Soldaten nach Hause schicken!“ oder „Alle Waffen vernichten!“, sind natürlich bloße Plattitüden, die uns eine einfache Welt suggerieren sollen. Denkt man sie indes weiter, so bedeuten sie auch ein Wegsehen und – was viel schlimmer ist – unterlassene Hilfeleistung. (",0
294312,Stimmt nicht!,CDU/CSU,Albert Rupprecht,DIE LINKE,Nicole Gohlke,2015-05-07,132025," sehr wohl bewusst –, die darin besteht, von der Exklusivität der Universität zu träumen und die Abgeschiedenheit des Elfenbeinturms zu bevorzugen. Darum geht es uns natürlich nicht.  (Beifall bei der LINKEN)  Aber keine Haltung ist es, den öffentlichen Diskurs und die Kritik einfach zu negieren.  (",1
345201,Was? Was für ein bodenloser Unsinn!,AfD,Uwe Schulz,DIE LINKE,Doris Achelwilm,2019-02-21,155944," eben am einfachsten ist, wenn alles bleibt, wie es ist, oder wieder wird, wie es einmal war. Und genau deshalb legt die AfD heute ein lupenreines „Anti-Frauen-Gesetz“ vor. Was für ein Trauerspiel und wie leicht zu durchschauen! (Beifall bei der LINKEN und der SPD sowie bei Abgeordneten des GRÜNE – ",1
87614,Hört! Hört!,CDU/CSU,Dietrich Austermann,CDU/CSU,Jochen Henke,2000-12-01,50557,es in der Summe sage und schreibe 120 Milliarden DM mehr. (Siegfried Hornung [CDU/CSU]: Hört! Hört!) Der Staat kassiert weiter und weiter. Am Ende Ihres Finanzplanungszeitraumes werden die jährlichen Abgaben- und Steuerbelastungen in diesem Land für die Bürger bei rund 1 Billion DM angelangt sein. (,0
386792,Falsches Mandat!,FDP,Dr. Marie-Agnes Strack-Zimmermann,DIE LINKE,Heike Hänsel,2021-04-23,176725,"ch die französische Armee gesagt hat. (Zurufe von der AfD) Warum wird es nicht einmal erwähnt? Die Bundesregierung schweigt in beschämender Weise zu diesem Massaker. Und da frage ich mich, wenn es nicht einmal erwähnt wird: Gilt eigentlich das Menschenleben von Maliern weniger als das von anderen? (",1
